                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.75004,                0.79061,                 1.0475,                0.86724,                0.69765,                0.76847,                 0.5926,                0.96237,                 1.0293,                 1.3075,              0.0011436,              0.0011436,              0.0011436
                     88,                0.71125,                0.68816,                 1.0168,                0.88524,                0.68425,                0.75841,                0.59737,                0.98403,                 1.0845,                 1.2883,              0.0011423,              0.0011423,              0.0011423
                     89,                0.77386,                 0.7456,                 1.0559,                0.83721,                0.65523,                0.73314,                0.57062,                 1.1008,                 1.2127,                 1.3567,              0.0011411,              0.0011411,              0.0011411
                     90,                0.75543,                0.70448,                 1.0428,                0.90188,                0.66367,                0.74619,                0.56336,                 1.1028,                 1.1666,                 1.3589,              0.0011399,              0.0011399,              0.0011399
                     91,                0.76109,                0.73678,                 1.0619,                0.88688,                0.70444,                0.77624,                 0.5948,                 1.0223,                  1.086,                 1.3089,              0.0011386,              0.0011386,              0.0011386
                     92,                0.74045,                0.70572,                 1.0588,                 0.8445,                0.72971,                 0.7807,                0.61054,                0.97091,                 1.0395,                 1.3001,              0.0011374,              0.0011374,              0.0011374
                     93,                0.75752,                 0.7092,                 1.0289,                0.96896,                0.62394,                0.75989,                0.59825,                0.98978,                 1.0466,                 1.3337,              0.0011362,              0.0011362,              0.0011362
                     94,                0.81569,                0.80643,                 1.0761,                0.81666,                0.67376,                0.75357,                0.55062,                 1.1469,                  1.239,                 1.3901,              0.0011349,              0.0011349,              0.0011349
                     95,                0.79961,                0.73573,                 1.0664,                0.87276,                0.63652,                0.74862,                 0.5147,                 1.2557,                 1.3294,                 1.4178,              0.0011337,              0.0011337,              0.0011337
                     96,                0.74778,                0.67044,                 1.0549,                0.86492,                 0.6419,                0.75017,                0.53821,                 1.1643,                 1.2498,                 1.3349,              0.0011324,              0.0011324,              0.0011324
                     97,                0.73533,                0.69455,                  1.061,                0.84862,                0.64252,                0.74695,                0.51774,                 1.1313,                 1.2326,                 1.3115,              0.0011312,              0.0011312,              0.0011312
                     98,                0.73026,                0.69398,                 1.0464,                0.85968,                0.62414,                0.75373,                0.56399,                 1.0599,                 1.2414,                 1.2583,                0.00113,                0.00113,                0.00113
                     99,                0.80157,                0.73659,                 1.0476,                0.85967,                0.61966,                0.73408,                0.56537,                0.93158,                  1.225,                 1.1764,              0.0011287,              0.0011287,              0.0011287
                    100,                0.77224,                0.75028,                 1.0436,                0.84869,                 0.6246,                0.70657,                0.53648,                0.95485,                 1.2697,                 1.1939,              0.0011275,              0.0011275,              0.0011275
                    101,                0.70751,                0.71555,                0.99895,                 0.8433,                0.60695,                0.69237,                0.54838,                0.91773,                 1.2975,                   1.17,              0.0011263,              0.0011263,              0.0011263
                    102,                0.73524,                0.71064,                 1.0297,                0.80083,                0.59906,                0.72984,                0.59135,                0.88097,                  1.201,                 1.1411,               0.001125,               0.001125,               0.001125
                    103,                0.72721,                0.68447,                 1.0347,                0.85629,                0.56856,                0.73044,                0.56105,                 0.9701,                 1.2417,                 1.2805,              0.0011238,              0.0011238,              0.0011238
                    104,                0.72715,                 0.6788,                 1.0217,                0.91414,                0.63761,                0.73736,                0.56727,                0.97175,                 1.2323,                 1.3014,              0.0011225,              0.0011225,              0.0011225
                    105,                0.73101,                 0.7356,                 1.0767,                0.95569,                0.57987,                0.67673,                 0.5442,                0.90529,                 1.3072,                 1.2374,              0.0011213,              0.0011213,              0.0011213
                    106,                0.75673,                0.69716,                 1.0296,                0.88563,                0.57943,                0.66274,                0.52334,                0.99705,                 1.4547,                 1.2981,              0.0011201,              0.0011201,              0.0011201
                    107,                0.73578,                 0.7293,                 1.0374,                0.88182,                0.62974,                0.68107,                 0.5581,                 1.0369,                 1.4133,                 1.3363,              0.0011188,              0.0011188,              0.0011188
                    108,                0.76239,                0.69051,                 1.0393,                0.89375,                0.59149,                0.68053,                0.51902,                 1.0386,                 1.3652,                 1.3214,              0.0011176,              0.0011176,              0.0011176
                    109,                0.72791,                0.66163,                 1.0284,                0.81201,                0.64184,                0.69595,                0.55254,                0.95188,                 1.3028,                 1.2893,              0.0011164,              0.0011164,              0.0011164
                    110,                0.70534,                0.63752,                 1.0225,                0.79573,                0.65801,                0.70627,                0.54268,                 1.0296,                 1.3375,                 1.3364,              0.0011151,              0.0011151,              0.0011151
                    111,                0.74445,                0.65694,                 1.0453,                0.80728,                0.65932,                0.71807,                0.56097,                 1.0045,                  1.278,                 1.3627,              0.0011139,              0.0011139,              0.0011139
