                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.8429,                 1.9395,                 2.3648,                0.71514,                0.44784,                 0.4652,                0.28396,                 1.8281,                 2.3993,                 2.3917,               0.000161,               0.000161,               0.000161
                     90,                 1.7816,                 1.9386,                 2.3081,                 0.6722,                0.43263,                0.46379,                0.27409,                 1.8376,                   2.38,                 2.3915,             0.00014862,             0.00014862,             0.00014862
                     91,                 1.7794,                 1.9779,                 2.3219,                0.42792,                0.50081,                0.49989,                0.31206,                 1.8478,                 2.3966,                 2.3856,             0.00013625,             0.00013625,             0.00013625
                     92,                 1.7811,                 1.9242,                 2.2877,                0.53942,                0.48967,                0.50551,                0.31807,                 1.8664,                 2.4095,                 2.4124,             0.00012387,             0.00012387,             0.00012387
                     93,                 1.7592,                   1.83,                 2.2906,                0.51207,                0.47273,                0.48136,                0.31096,                 1.8676,                 2.4084,                 2.4323,              0.0001115,              0.0001115,              0.0001115
                     94,                 1.8741,                 2.0489,                 2.3624,                0.49075,                 0.4781,                0.48681,                 0.3205,                 1.8684,                 2.3769,                 2.4475,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                 1.7308,                 1.8381,                 2.2695,                 0.6748,                0.42922,                 0.4807,                0.30939,                 1.8385,                 2.3277,                 2.4313,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                 1.7629,                 1.8513,                 2.2822,                0.70943,                 0.4099,                0.46766,                0.30724,                 1.8347,                 2.3126,                  2.417,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                 1.7649,                  1.904,                 2.2897,                0.72978,                0.37419,                0.49008,                0.32839,                 1.8212,                 2.2653,                 2.3889,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                 1.7797,                 1.8582,                 2.3005,                0.71028,                0.38744,                0.49187,                0.32879,                 1.8223,                 2.2485,                 2.3815,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                 1.7481,                 1.8543,                  2.262,                0.77444,                 0.4099,                0.50305,                0.33676,                 1.8339,                 2.2558,                 2.3708,              3.725e-05,              3.725e-05,              3.725e-05
